SD,RS,GS_Base_ICL,GS_Base_SFT,GS_Chat_ICL,GS_Chat_SFT,RS_Len_Base,RS_Len_Chat,OOV_RS_Base,OOV_RS_Chat,Novel_RS,OOV_SD_Base,OOV_SD_Chat,R-L_Base_ICL,R-L_Base_SFT,R-L_Chat_ICL,R-L_Chat_SFT,Medical_Words_SplitMoreThan1,Medical_Words_SplitMoreThan3,Medical_Words_SplitMoreThan1_SD,Medical_Words_SplitMoreThan3_SD,CSr__Base_ICL,CSr__Base_SFT,CSr__Chat_ICL,CSr__Chat_SFT
"23 surgeries and counting......lower lip birthmark, have tried all options out the there and guess what still have it, continues to grow back.....any suggestions? Is there a cure coming in the next few years hopefully?",How can i get rid of a lower lip birthmark permanently?,What are the treatments for a lower lip birthmark?,What are the latest treatments for lower lip birth defects?  What are the latest treatments,"Is there a cure or treatment for a persistent lower lip birthmark, and if so, when","23 surgery and still have birthmark on lower lip, what are the latest treatments and",14,14,0.1,0.1,0.5454545454545454,0.0714285714285714,0.0714285714285714,0.3999999999999999,0.1538461538461538,0.2962962962962963,0.1538461538461538,0.25,0.0,0.2,0.0,0.5,0.28571428571428575,0.28571428571428575,0.3333333333333333
I have chronic renal disease and worry that Magnesium silicofluoride treatment of moth infestation of a large living room rug will be harmful to my health. Is this true? If the rug is treated in house how long before any toxic fumes or skin contact would be a hazard. Appreciate any help you could provide.,Is Magnesium Silicofluoride safe for people?,How long does it take for magnesium silicofluoride to dissipate in the air?,How can magnesium silicofluoride be used to treat chronic renal disease,How long does Magnesium silicofluoride treatment last in a room?,Are there adverse effects of magnesium silicofluoride on people with chronic,14,14,0.4,0.4,0.8333333333333334,0.1764705882352941,0.1764705882352941,0.2105263157894736,0.2352941176470588,0.25,0.3529411764705882,0.5,0.0,0.35,0.0,0.0,0.0,0.28571428571428575,0.3333333333333333
I am not a nurse or Dr or student... I am just a person with a question that I need an answer to. Could you please help me out and let me know if there is any research on the effect of Rogam on the baby of the RH- person? Are there higher rates of mental illnesses in them or other health issues? I would really appreciate any information. Thank you,Could RhoGAM damage the baby?,What are the effects of Rhogam on the baby of an Rh- person?,What are the effects of Rogam on RH- person?,"What is the effect of Rhogam on the baby of an Rh-person, and are there",What are the adverse effects of Rogam and what are the inheritance patterns of Rh-ness?,9,9,0.25,0.25,0.8,0.0461538461538461,0.0461538461538461,0.3333333333333333,0.1428571428571428,0.2857142857142857,0.0952380952380952,0.3333333333333333,0.3333333333333333,0.1538461538461538,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0
hydroxychloroquine for rheumatoid arthritis. Can you tell me if this medication that my doctor put me on could make me sweat profusely at the slightest little strenuous activity I'm also methotrexate 6 2.5mg once a week. could you please email me back thank you very much,Could hydroxychloroquine and methotrexate make me sweat? ,I have rheumatoid arthritis. Can you tell me if hydroxychloroquine could make me sweat prof,Are there side effects of hydroxychloroquine and methotrexate?,"Can you provide information on hydroxychloroquine's side effects, including excessive","15, 2013 12:33 am by Drug interactions between",21,21,0.3333333333333333,0.3333333333333333,0.4285714285714285,0.1951219512195122,0.1951219512195122,0.3636363636363636,0.3999999999999999,0.1111111111111111,0.0,1.0,0.6666666666666666,0.4615384615384615,0.3076923076923077,1.0,0.0,0.0,0.0
"Gadolinum toxicity and MCS relationship? I have 2 Genovia Labs test results years apart with seriously high Gadolinum toxicity. AND I am very VERY VERY very challenged by MCS - Multiple Chemical Sensitivity. My question is: If I had multiple MARs after an auto accident. And since then the MCS is debilitating. Certainly the symptoms of Gas level in my body cause symptoms as well. But I am debilitated by Synthetic chemicals in the air.  How can I find out if the Gas exhaserbated my reaction to exhaust fumes, air fresheners, perfumes, dryer sheets(!!!!), food additives, and much more. Many Thanks",Is there a relationship between Gadolinium and Multiple Chemical Sensitivity?,What is the relationship between gadolinium toxicity and MCS?,How can I find out if gadolinium toxicity exacerbates my multiple chemical,Is there a relationship between gadolinium toxicity and multiple chemical sensitivity (MCS,How can I find out if gas levels in my body are related to MCS? Is there a,17,17,0.2222222222222222,0.2222222222222222,0.7,0.2470588235294117,0.2470588235294117,0.5263157894736842,0.2727272727272727,0.9090909090909092,0.2142857142857142,0.6,0.2,0.40625,0.0,0.5,0.0,0.8,0.0
"I have myclonus as well acute respiratory distress syndrome and sleep apnea with painful left temporal pain; I actually raise for sleep start holding my left temporal and saying, ouch!! I experience in the same occurrence..all three hallucinations regarding wake sleep (audio tactile and visual). I have expressed my concerns to numerous neurologist and they tell me It's Functional. Should I be concerned?",Should I be worried about wake sleep hallucinations?,Is myclonus a symptom of acute respiratory distress syndrome and sleep apnea?,"What are the side effects of myclonus, acute respiratory distress syndrom","Can my myclonus, acute respiratory distress syndrome, sleep apnea","3 hallucinations during sleep, including pain on the left temporal side, are they functional or",14,14,0.2857142857142857,0.2857142857142857,0.625,0.2037037037037037,0.2037037037037037,0.1,0.0,0.1176470588235294,0.0869565217391304,0.75,0.25,0.5238095238095238,0.0952380952380952,0.0,0.0,0.0,0.0
"I an autoimmune disease and suffer with MCS. Recently I purchased a new combustion heater and went away for the first week while my friend burned it daily to allow the paint to cure. However when I returned, each time I lit it, after 1/2 a hour this pungent toxic burning plastic smell filles the house causing my mouth to burn, a rash on my face, a whooshing sound in my ears. I couldn't make a decision, had an urgency to defecate and then fight and flight panic affected so badly I had to leave my home. I had the manufactures come to my home but the didn't wait long enough for the smell to start, there were more concerned with the function of the unit, no the toxic smell. The did admit that the flu had not been correctly installed and they are going to rectify that however they assured me that the smell I described would not be coming from the fire. So I tried it again and the smell reoccurred, this time I got a friend to come and help. He suggested it might be the new vinyl flooring of gassing as the house heated up. ( I had recently had a reno done. My issue is that I need to identify what is making me ill so I can avoid it. If it proves to be the floor I will get rid of it. I cant live in my home under these conditions as this chemical effects me so much it makes me literally crazy. I cant talk, I get confused, I cry then I panic and run. This week the chemical messed with my head so badly I drove in the path of a truck? Lucky he has just started up and missed me. I just sat in the car and cried. I really really need the help of a specialist. Where do I go from here? Kindest regards",How do I find out if the vinyl flooring or a heater make me sick? ,What is the cause of the toxic smell in my home?,How can I find physician(s) who specialize in environmental medicine?  How can I,How can I identify the source of a toxic smell in my home?,What are the causes and prevention for pungient toxic burning plastic smoke? Where can,20,20,0.2142857142857142,0.2142857142857142,0.2666666666666666,0.1027397260273972,0.1027397260273972,0.0769230769230769,0.2068965517241379,0.2857142857142857,0.0689655172413793,1.0,0.0,0.2258064516129032,0.0,0.0,0.0,0.0,0.0
"Hi to whom this may concern: I have a non alcoholic fatty liver and when I seen my consultant he say I don't have to see Him again for 5 years and advised me to drink 3 cups of coffee a day, But I can't drink coffee at all, So I email a consultant asking if he new of a coffee tablet, So he email me back saying it properly glutathione-s-transferase enzymes in the coffee so am looking for a cheap tablet which contains.these enzymes to help repair my liver I also only have one kidney which am on long term antibiotics for I do hope you can help.  I look forward to your reply",Where can I get glutathione supplements for my nonalcoholic fatty liver? ,What is the best way to treat non-alcoholic fatty liver disease?,What are the ingredients of coenzyme q10 and coenzyme q10,Are there any natural supplements that can help repair a non-alcoholic fatty,"Where can I find information on non alcoholic fatty liver, including treatments and support",24,24,0.4,0.4,0.5454545454545454,0.125,0.125,0.1739130434782608,0.0,0.1666666666666666,0.4,1.0,0.5,0.3928571428571428,0.0714285714285714,0.6666666666666666,0.0,0.0,0.0
covid-19 how long to quarantine after being positive how long are you contagious if i tested positive for covid-19. how long before i can safely return to work after a positive covid 19 test,How long will I remain infectious after testing positive for COVID-19? ,How long does it take to recover from COVID-19?,How long do I have to quarantine after testing positive for covid-19?  How,How long should one quarantine after testing positive for COVID-19?,How long do people who test positive for COVID-19 contagious? How long do people,18,18,0.1,0.1,0.6363636363636364,0.0967741935483871,0.0967741935483871,0.3636363636363636,0.6923076923076924,0.6956521739130435,0.5185185185185186,0.25,0.0,0.125,0.0,0.3333333333333333,0.8571428571428571,0.8571428571428571,0.6666666666666665
"what/why do flu-like symtoms such as: hot/cold sweats, chills, diarrhea, nausea, vommiting, runny nose, for longer than 13 days or more? could on-going stomach/flu symtoms that persist 13 days or more be something other than a bug or virus?",What can cause flu-like symptoms lasting longer than 13 days?,What is the cause of flu-like symptoms that persist for 13 days or more?,"What are the causes of diarrhea, vomiting, hot/cold sweats,",Can ongoing flu-like symptoms persist for more than 13 days without being caused by,13 days or more of flu-like symptoms could be something else? What are the causes,17,17,0.2857142857142857,0.2857142857142857,0.6,0.1304347826086956,0.1304347826086956,0.5384615384615385,0.1904761904761905,0.5384615384615385,0.2222222222222222,0.3333333333333333,0.0,0.4615384615384615,0.0769230769230769,1.0,0.0,0.0,0.0
