Tokens,Count
previous myocardial infarction,2
high-density lipoprotein,27
low-density lipoprotein,35
Coronary heart disease,2
cardiovascular events,37
myocardial infarction,95
high triglycerides,4
total cholesterol,46
mortality rates,9
adverse events,95
approximately,1500
triglycerides,24
stable angina,1
triglyceride,27
sudden death,15
confirmation,15
information,2989
cholesterol,82
bezafibrate,3
Bezafibrate,2
probability,69
decreasing,25
redundant,1423
increased,399
confirmed,84
frequency,154
reduction,314
effective,730
incidence,338
isolated,26
Document,1423
patients,3255
clinical,550
followed,161
analysis,287
subgroup,44
baseline,262
lowering,78
Response,1426
medical,1566
summary,1463
concise,1424
include,1521
placebo,998
primary,261
reduced,254
overall,186
levels,335
impact,57
double,192
cancer,75
given,1578
query,4269
Query,1423
treat,202
blind,189
mg/dL,48
years,779
point,103
fatal,64
Total,7
trend,64
long,1477
When,133
high,404
risk,961
mean,523
post,79
You,2846
low,357
day,255
end,224
idiopathic dilated cardiomyopathy,1
ventricular ejection fraction,9
hypertrophic cardiomyopathy,3
rheumatic mitral stenosis,1
ventricular hypertrophy,3
left atrial enlargement,1
mitral regurgitation,21
aortic regurgitation,6
aortic stenosis,6
asymptomatic,97
replacement,25
prevalence,154
abnormal,70
annular,1
calcium,86
mitral,4
valve,12
women,1116
left,30
men,301
iliotibial band friction syndrome,1
randomized controlled trials,52
lateralis epicondylitis,1
inclusion and exclusion,5
therapeutic ultrasound,3
lateral epicondylitis,11
stretching exercises,2
functional status,22
musculoskeletal,1
clinical trials,70
Musculoskeletal,7
physiotherapy,23
interventions,211
control group,123
grip strength,5
tennis elbow,10
intervention,215
specialized,4
cryotherapy,65
statistical,27
pain relief,25
sample size,18
transverse,1
management,274
tendinitis,9
Controlled,86
controlled,374
abstracted,31
continuous,43
modalities,19
consistent,73
treatment,1936
Therapies,5
reference,91
consulted,8
performed,265
friction,1
treating,88
Register,111
registry,8
Physical,3
extensor,1
included,496
criteria,257
reviewer,24
weighted,46
outcomes,319
combined,182
measured,142
relative,119
specific,142
adequate,38
massage,8
several,55
Related,2
studies,851
control,284
running,11
benefit,251
limited,105
methods,127
Sports,5
Discus,3
active,80
Future,10
needed,116
effect,422
works,9
group,1205
field,38
types,65
Group,82
weeks,241
small,145
Deep,5
pain,266
June,37
area,47
Data,119
form,58
rest,39
All,43
pre,54
use,580
clinical characteristics,6
migraine prophylaxis,4
common migraine,2
side effects,89
flunarizine,7
Twenty-four,8
significant,673
medication,125
Successful,9
childhood,51
classical,5
prevents,18
migraine,64
children,705
reported,350
assigned,202
Efficacy,27
headache,81
duration,196
Children,41
superior,84
authors,111
patient,322
treated,456
therapy,568
adults,230
period,288
mg/day,46
months,309
sleep,83
agent,37
used,504
week,203
drug,143
mild,100
vitamin D deficiency,4
African American,11
hypovitaminosis,2
children living,5
supplementation,38
North Carolina,6
United States,90
Approximately,14
recommended,129
bottle-fed,10
guidelines,113
occurrence,41
identified,292
breast-fed,17
Pediatrics,6
recommends,5
attention,28
vitamin D,20
available,213
published,180
described,41
d vitamin,1
beginning,18
recommend,57
education,43
Education,21
vitamins,18
minerals,7
National,56
presence,118
prompted,7
reviewed,127
Patients,209
American,40
beverage,11
infants,329
Reports,6
rickets,10
Georgia,2
reports,80
maximal,29
records,24
feeding,65
Academy,16
minimal,37
weaning,3
status,105
breast,40
number,247
Texas,3
cases,306
black,24
Given,10
young,68
data,569
life,87
diet,98
mid,8
new,118
age,562
AAP,10
dietary interventions,2
regression analyses,7
blood cholesterol,6
Triacylglycerols,1
LDL cholesterol,35
HDL cholesterol,7
dietary fibers,1
meta-analysis,125
concentration,79
Soluble fiber,1
plasma lipids,1
dyslipidemia,15
blood lipids,5
study design,16
Independent,5
independent,107
dietary fat,4
associated,573
Increasing,11
uncertain,36
variables,84
decreases,29
oat bran,1
guar gum,1
psyllium,3
decrease,132
effects,411
soluble,16
initial,157
changes,158
content,19
Various,4
amounts,8
oatmeal,1
lipids,10
pectin,2
amount,18
unable,10
length,31
major,150
fiber,29
study,948
Lipid,12
total,368
lower,309
test,224
mmol,33
guar,1
oats,1
oat,1
perinatal mortality,2
confidence interval,377
intrauterine death,2
fetal movement,11
complications,113
relative risk,166
pregnancies,45
instruction,5
caregivers,11
considered,151
clinicians,39
Childbirth,17
inadequate,14
assessment,116
compliance,46
clinician,25
pregnancy,152
Pregnancy,18
September,38
involving,81
alerting,1
measures,126
hormonal,26
hospital,95
practice,67
research,81
average,169
purpose,61
anxiety,46
Central,38
Library,67
routine,80
hormone,17
minutes,34
provide,109
counts,22
method,87
allows,15
papers,30
review,272
scores,136
Robust,1
fetal,27
Fetal,2
woman,35
feels,1
cause,183
Women,69
Apgar,1
count,14
baby,22
good,77
hand,35
done,40
bias,26
less,383
World Health Organization,8
osteoporosis screening,2
bone mineral density,49
alcohol consumption,6
population at risk,1
bone densitometry,2
Risk Assessment,1
body mass index,48
postmenopausal,66
family history,16
questionnaire,49
osteoporosis,46
measurements,56
risk factors,121
Osteoporosis,3
longitudinal,11
primary care,80
participants,199
established,66
peripheral,16
short-term,71
prediction,29
subsequent,72
ambulatory,36
osteopenia,9
population,191
Peripheral,2
predictive,112
strategies,109
12 months,91
diagnosis,272
practices,35
responses,23
cortisone,1
decreased,136
including,224
fractures,86
fracture,70
previous,103
Baseline,15
obtained,111
Hispanic,13
estrogen,29
diuretic,20
exercise,194
derived,36
forearm,12
T score,4
smoking,84
4 times,6
setting,53
follow,435
states,7
