Word,Count,Splits
surgery,120,2
clinical,115,2
survival,105,2
mortality,82,2
diagnosis,76,2
Patients,70,2
therapy,68,2
symptoms,66,2
complications,59,2
outcomes,58,2
baseline,53,2
fractures,52,3
postoperative,52,3
bone,51,2
knee,50,2
dose,48,2
examined,46,2
imaging,45,2
preoperative,43,3
findings,43,2
retrospective,42,3
reviewed,41,2
cohort,41,2
serum,40,2
acute,39,2
pregnancy,39,3
severity,39,2
prevalence,38,3
infection,37,2
tumor,37,2
chronic,37,2
diabetes,36,3
diagnosed,35,2
smoking,35,2
incidence,35,2
fracture,33,3
intervention,33,2
biopsy,33,3
assessment,33,2
surgical,33,2
adults,31,2
carcinoma,31,3
tumors,31,2
examination,31,2
lesions,30,2
onset,30,2
emergency,30,2
ultrasound,30,3
infants,30,2
adjusted,29,2
logistic,29,2
cervical,29,3
asthma,29,3
screening,29,2
coronary,29,2
fetal,29,2
lymph,28,3
odds,28,2
concentrations,28,2
alcohol,28,2
prostate,28,2
placebo,27,2
resection,27,2
abdominal,27,3
questionnaire,27,2
specimens,27,3
tumour,27,2
transfusion,27,3
aortic,26,3
headache,26,2
investigated,26,2
elevated,25,2
obese,25,2
insulin,25,3
pregnant,25,3
sensitivity,25,2
decreased,25,2
muscle,25,2
maternal,24,2
metastases,24,3
tissue,24,2
radiotherapy,24,3
artery,24,2
tomography,24,2
carotid,24,3
Overall,23,2
clinic,23,2
physician,23,2
oral,23,2
resonance,23,2
influenza,23,2
rectal,23,2
laparoscopic,23,5
elderly,22,2
prevention,22,2
trauma,22,2
discharge,22,2
disorder,22,2
VAS,22,2
syndrome,21,2
recurrence,21,2
cancers,21,2
gestational,21,2
ischemia,20,3
exposure,20,2
stenosis,20,3
renal,19,2
classified,19,2
mild,19,2
multivariate,19,3
demographic,19,2
guidelines,19,3
obesity,19,3
diabetic,18,3
diseases,18,2
drugs,18,2
admission,18,2
Scale,18,2
sectional,18,2
diet,18,2
complication,18,2
adjustment,18,2
deprivation,18,3
morbidity,17,3
recurrent,17,2
physicians,17,2
gastric,17,3
trend,17,2
mothers,17,2
reperfusion,17,4
Compared,17,2
scans,17,2
injuries,17,2
feeding,17,2
prognostic,16,4
ventricular,16,3
urine,16,2
predictive,16,2
remission,16,2
appendicitis,16,3
rats,16,2
tube,16,2
chemotherapy,16,3
facial,15,2
fixation,15,2
intensive,15,2
therapeutic,15,5
moderate,15,2
intravenous,15,4
urinary,15,2
bowel,15,2
ward,15,2
atrophy,15,3
spinal,15,2
gestation,15,2
inflammation,15,3
disorders,15,2
acupuncture,15,4
limb,15,2
myomas,15,2
hCG,15,2
perfusion,15,2
fentanyl,15,4
vitamin,14,2
pancreas,14,3
laboratory,14,2
systolic,14,3
Clinical,14,3
hypertension,14,3
plasma,14,2
socioeconomic,14,5
LOS,14,2
metastasis,14,3
Retrospective,14,3
spontaneous,14,3
glucose,14,3
depression,14,2
radiographs,14,3
parotid,14,3
Patient,13,2
ventilation,13,2
gland,13,2
needle,13,2
cardiovascular,13,5
specificity,13,2
valve,13,2
Doppler,13,3
airway,13,2
ovarian,13,3
saline,13,2
deaths,13,2
schizophrenia,13,5
pressures,13,2
bypass,13,2
prospective,13,2
relapse,13,2
Median,13,2
hospitalization,13,2
pelvic,13,2
ethnic,13,2
gluten,13,2
kidney,12,2
cardiac,12,2
cTnI,12,4
attending,12,2
angiography,12,3
intraoperative,12,4
liver,12,2
arterial,12,3
biochemical,12,3
Medicare,12,2
lesion,12,2
vaccination,12,3
neonatal,12,3
reflux,12,3
tertiary,12,4
invasive,12,2
adequate,12,3
Cox,12,2
interventions,12,3
amputation,12,2
centers,12,2
contralateral,12,4
mutation,12,2
secretion,12,2
respondents,12,2
antibiotics,11,4
perceived,11,2
hormone,11,3
eligible,11,3
mmHg,11,3
demographics,11,3
awareness,11,3
emotional,11,2
thyroid,11,2
questionnaires,11,3
anticoagulation,11,4
clinics,11,2
healing,11,2
examinations,11,3
insertion,11,2
ratios,11,3
symptom,11,2
metastatic,11,3
cholecystectomy,11,6
wound,11,2
isolates,11,2
tumours,11,2
venous,11,2
infusion,11,2
receptor,11,2
vaginal,11,3
menopausal,11,4
necrosis,11,4
professionals,11,2
residency,11,3
creatine,11,3
providers,11,2
graft,10,2
pulmonary,10,3
palsy,10,3
pulse,10,2
medication,10,2
metformin,10,3
hypertensive,10,3
gastrointestinal,10,5
bleeding,10,2
mucosa,10,3
insurance,10,2
peripheral,10,3
initiation,10,2
bilateral,10,3
Treatment,10,3
practitioner,10,3
deformity,10,3
vascular,10,3
symptomatic,10,3
ischemic,10,3
uptake,10,3
PET,10,2
infections,10,3
axillary,10,3
genes,10,2
differentiated,10,2
bronchiectasis,10,5
inflammatory,10,4
mice,10,2
screw,10,2
nursing,10,3
epinephrine,10,4
enteral,10,2
admissions,10,2
atrial,10,2
vaccine,10,3
aneurysm,10,4
patella,10,2
pyloric,10,4
leukocyte,9,4
transplantation,9,3
adenocarcinoma,9,6
Cancer,9,2
