Word,Count,Splits
concise,1424,2
redundant,1423,3
placebo,1004,2
acute,395,2
mortality,371,2
incidence,344,2
infants,329,2
serum,300,2
cholesterol,287,4
hypertension,237,3
adverse,235,2
interventions,224,2
coronary,218,2
Patients,209,2
antibiotics,196,3
asthma,177,3
cohort,170,3
specificity,168,2
antibiotic,162,3
prevalence,155,2
decreased,145,2
calcium,144,2
recurrence,144,2
morbidity,142,3
cardiovascular,139,3
renal,136,2
complications,133,2
insulin,130,2
myocardial,128,4
headache,126,2
vitamin,121,2
prophylaxis,120,4
infarction,116,3
urinary,116,2
fractures,115,2
symptom,113,2
elevated,113,2
aspirin,113,2
predictive,112,2
inhibitors,112,2
cervical,111,3
recurrent,111,2
therapies,110,2
therapeutic,109,3
inflammatory,108,4
concentrations,108,2
thyroid,108,2
infections,106,2
lipoprotein,105,4
hypothyroidism,103,4
hormone,102,2
asymptomatic,101,3
severity,101,2
pertussis,101,3
obesity,99,3
sodium,99,2
abnormal,98,2
bacterial,97,2
glucose,97,3
randomized,96,2
endometrial,93,3
onset,93,2
physicians,92,2
adolescents,90,3
ratios,90,2
regression,89,2
warfarin,89,3
neonatal,88,3
vaginal,87,2
Controlled,86,2
Treatment,86,2
antidepressants,86,4
dysfunction,86,2
statin,85,2
menstrual,85,3
acetaminophen,84,5
migraine,83,2
symptomatic,83,3
regimens,82,3
venous,82,2
creatinine,82,3
fracture,81,2
cytology,81,3
topical,81,2
regimen,80,2
lowering,78,2
lesions,77,2
intake,77,2
lipid,77,2
inhaled,76,3
overweight,76,2
vascular,76,2
tinea,76,2
pelvic,74,3
surgical,74,2
postmenopausal,73,5
bowel,73,2
Clinical,72,2
ambulatory,71,3
enzyme,71,3
contraceptive,70,4
insomnia,70,3
vaginosis,69,3
vaccination,69,2
carcinoma,68,3
erythromycin,68,6
fetal,67,2
pulmonary,67,3
Compared,67,2
constipation,66,3
prescribed,66,2
cryotherapy,65,2
antibodies,65,3
nephropathy,65,5
retrospective,65,3
glucosamine,65,4
herpes,64,2
diabetic,64,2
ultrasonography,64,4
cardiac,64,2
ultrasound,63,3
databases,63,2
preterm,62,2
progression,62,2
lesion,61,2
otitis,61,2
sunscreen,61,2
maternal,60,2
antihypertensive,60,5
diarrhea,60,4
mmHg,59,3
hypertensive,59,3
hepatitis,59,3
