Tokens,Count
white blood cell count,2
maternal infection,1
chorioamnionitis,5
medical records,7
retrospective,31
antibiotics,11
evaluation,23
indicators,5
University,11
Histologic,4
associated,134
placentas,2
infection,16
performed,125
diagnosis,69
trimester,1
frequent,13
clinical,95
Hospital,25
Maternal,5
reviewed,41
presence,45
January,28
degree,18
mother,1
review,15
cases,95
acute,17
Cases,4
usage,7
July,10
mean,122
Complex regional pain syndrome,1
complex regional pain syndrome,4
confidence interval,40
multicenter trial,1
affected patients,1
ascorbic acid,1
fracture type,6
Three hundred,4
relative risk,10
development,24
complaints,7
occurrence,7
prevalence,38
vitamin C,5
fractures,35
treatment,159
predicted,7
reported,78
response,40
patients,1038
Analysis,4
treated,101
placebo,27
related,72
elderly,22
effect,55
double,12
gender,20
study,348
wrist,4
blind,10
daily,8
group,304
women,151
Early,2
dose,43
days,42
cast,2
age,168
Fournier's gangrene,3
leukocyte count,6
mortality rate,2
debridement,2
risk factor,12
significant,197
aggressive,8
experience,28
prognostic,16
morbidity,17
mortality,70
survivors,5
December,17
deceased,1
hospital,44
impact,32
Center,2
Mother,2
known,21
years,197
high,68
died,14
Mean,34
mm3,1
Peripheral blood,1
dendritic cells,2
flow cytometry,2
TCR zeta chain,1
downregulation,1
primary tumor,4
pneumothorax,1
lymph nodes,5
lung cancer,7
Twenty-four,3
cytokeratin,1
properties,3
lymph node,5
expression,35
maturation,1
metastases,12
diagnosed,35
emphysema,1
apoptosis,3
reduction,30
regional,13
positive,73
obtained,65
Separate,2
examined,46
striking,1
control,65
T cells,7
myeloid,1
absence,12
changes,27
immune,2
stages,8
tissue,13
levels,94
tested,20
frozen,2
number,89
status,30
NSCLC,1
cells,5
color,1
state,13
cell,3
zeta,1
This,23
TCR,1
pancreas transplantation,1
end-stage renal disease,1
retransplantation,2
transplantations,3
poorly defined,2
graft survival,4
transplanted,1
simultaneous,4
management,34
population,49
including,47
diabetic,16
pancreas,12
survival,88
function,24
Survival,3
Pancreas,1
primary,73
Patient,9
5 years,9
type 1,6
kidney,7
1 year,17
better,17
graft,5
whole,16
cause,22
lost,2
retransplantations,1
small cell lung cancer,3
pulmonary resection,1
pulmonary function,1
gender difference,5
survival analysis,3
pathologic stage,7
adenocarcinoma,9
Cancer Center,3
preoperative,43
procedures,21
according,45
histology,8
operation,17
variables,44
resected,4
National,14
matching,4
divided,26
matched,26
greater,49
Overall,23
overall,44
smoking,34
Tokyo,1
score,82
year,85
used,108
men,54
sexually transmitted disease,1
congenital syphilis,2
secondary syphilis,1
general population,7
antenatal clinic,1
service workers,1
approximately,11
case reports,3
blood donors,2
